iter	Passed	Remaining
0	3	3981
1	7	3503
2	8	2941
3	9	2467
4	11	2191
5	12	2006
6	13	1858
7	14	1772
8	15	1717
9	16	1646
10	17	1599
11	18	1559
12	20	1567
13	22	1565
14	23	1533
15	24	1513
16	25	1496
17	26	1464
18	28	1460
19	29	1449
20	30	1428
21	31	1411
22	32	1393
23	33	1375
24	34	1359
25	35	1343
26	36	1327
27	37	1311
28	38	1296
29	39	1281
30	40	1268
31	41	1264
32	42	1258
33	43	1247
34	44	1238
35	45	1229
36	46	1220
37	47	1210
38	48	1201
39	49	1194
40	50	1186
41	51	1179
42	52	1173
43	53	1166
44	54	1160
45	55	1153
46	56	1148
47	57	1148
48	59	1145
49	60	1142
50	61	1146
51	62	1144
52	63	1140
53	64	1134
54	65	1129
55	66	1124
56	67	1119
57	68	1113
58	69	1108
59	70	1102
60	71	1098
61	72	1093
62	73	1089
63	74	1086
64	75	1081
65	76	1076
66	77	1072
67	78	1069
68	79	1067
69	80	1064
70	81	1060
71	81	1056
72	82	1052
73	83	1048
74	84	1044
75	85	1043
76	86	1039
77	87	1037
78	88	1034
79	89	1032
80	90	1029
81	91	1028
82	92	1020
83	93	1018
84	94	1015
85	95	1012
86	96	1009
87	97	1008
88	98	1005
89	99	1002
90	100	999
91	101	997
92	102	996
93	103	994
94	104	992
95	105	989
96	106	987
97	107	985
98	108	983
99	109	982
100	110	979
101	110	977
102	111	974
103	112	971
104	113	968
105	114	966
106	115	964
107	116	962
108	117	961
109	118	958
110	119	958
111	120	957
112	121	955
113	122	952
114	123	950
115	124	947
116	125	944
117	126	942
118	126	939
119	127	937
120	128	935
121	129	931
122	130	929
123	131	927
124	132	924
125	133	922
126	133	919
127	134	917
128	135	916
129	136	914
130	137	912
131	138	910
132	139	908
133	140	906
134	141	904
135	142	903
136	143	901
137	143	899
138	144	897
139	145	895
140	146	893
141	147	893
142	149	893
143	150	892
144	151	890
145	151	888
146	152	886
147	153	884
148	154	882
149	155	881
150	156	880
151	157	879
152	158	877
153	159	875
154	160	874
155	161	872
156	162	870
157	163	868
158	163	867
159	164	865
160	165	862
161	166	860
162	167	858
163	168	856
164	168	855
165	169	853
166	170	852
167	171	851
168	172	850
169	174	849
170	175	849
171	176	847
172	177	846
173	178	846
174	179	844
175	180	844
176	181	843
177	182	842
178	183	841
179	184	840
180	185	841
181	186	840
182	188	839
183	189	838
184	190	837
185	191	836
186	192	835
187	193	834
188	194	832
189	195	831
190	195	830
191	197	829
192	198	828
193	199	827
194	200	826
195	202	831
196	204	832
197	205	831
198	206	831
199	207	831
200	208	829
201	209	827
202	210	826
203	211	825
204	212	824
205	213	822
206	214	821
207	215	820
208	216	818
209	217	817
210	218	815
211	219	814
212	220	814
213	221	812
214	222	811
215	223	810
216	224	809
217	225	808
218	226	806
219	227	805
220	228	804
221	229	804
222	230	803
223	231	801
224	232	800
225	233	800
226	234	799
227	235	797
228	236	796
229	237	795
230	238	793
231	239	793
232	240	791
233	241	790
234	244	796
235	245	794
236	246	793
237	247	792
238	248	790
239	249	789
240	250	788
241	251	786
242	252	785
243	253	784
244	253	782
245	254	781
246	255	779
247	256	778
248	257	777
249	258	775
250	259	774
251	260	773
252	261	772
253	262	771
254	263	769
255	264	768
256	265	767
257	266	767
258	267	766
259	268	765
260	269	764
261	271	763
262	271	761
263	272	760
264	273	759
265	274	758
266	275	757
267	278	760
268	279	760
269	280	759
270	282	758
271	283	758
272	284	758
273	286	758
274	287	757
275	288	757
276	289	756
277	291	755
278	292	755
279	293	754
280	294	754
281	296	753
282	297	753
283	298	752
284	299	751
285	300	750
286	301	749
287	302	748
288	304	747
289	305	747
290	306	746
291	308	747
292	309	747
293	310	746
294	311	745
295	313	744
296	314	743
297	315	742
298	316	742
299	317	741
300	318	740
301	319	739
302	321	738
303	322	738
304	323	737
305	324	736
306	326	737
307	328	737
308	329	737
309	331	737
310	332	736
311	333	736
312	335	736
313	336	735
314	338	735
315	339	734
316	341	735
317	342	735
318	344	734
319	345	733
320	346	732
321	347	731
322	348	731
323	350	730
324	351	729
325	352	728
326	353	728
327	355	727
328	356	727
329	357	726
330	358	725
331	360	724
332	361	724
333	362	723
334	363	722
335	365	721
336	366	720
337	367	719
338	368	718
339	369	717
340	370	716
341	372	715
342	373	714
343	374	714
344	375	713
345	377	712
346	378	712
347	379	711
348	380	709
349	381	708
350	382	707
351	383	706
352	384	704
353	385	703
354	386	702
355	388	702
356	389	701
357	390	700
358	392	699
359	393	699
360	394	698
361	395	697
362	396	696
363	397	695
364	399	694
365	400	693
366	401	692
367	402	691
368	403	689
369	404	688
370	405	687
371	406	686
372	407	685
373	409	684
374	410	683
375	411	682
376	412	681
377	413	680
378	414	679
379	415	678
380	417	677
381	417	676
382	419	675
383	420	673
384	421	672
385	422	671
386	423	670
387	424	670
388	425	668
389	426	667
390	428	666
391	429	665
392	430	664
393	431	664
394	432	662
395	433	661
396	435	660
397	436	659
398	437	658
399	438	657
400	439	656
401	440	655
402	441	654
403	443	653
404	444	652
405	445	651
406	446	650
407	447	649
408	448	648
409	449	647
410	451	646
411	452	645
412	453	645
413	455	644
414	456	643
415	457	641
416	458	641
417	459	639
418	460	638
419	461	637
420	463	636
421	464	635
422	465	634
423	466	634
424	467	633
425	469	632
426	470	631
427	471	629
428	472	628
429	473	628
430	475	627
431	476	627
432	478	625
433	479	625
434	480	624
435	481	622
436	482	621
437	483	620
438	484	619
439	486	618
440	487	618
441	489	617
442	490	616
443	491	616
444	493	614
445	494	614
446	496	613
447	497	612
448	498	611
449	500	611
450	501	610
451	502	609
452	503	608
453	504	607
454	506	606
455	507	605
456	508	604
457	509	603
458	511	602
459	512	601
460	513	600
461	514	599
462	515	598
463	516	596
464	517	595
465	518	594
466	519	593
467	521	592
468	522	591
469	523	590
470	524	589
471	525	587
472	526	586
473	527	585
474	528	584
475	532	585
476	533	584
477	534	583
478	535	582
479	536	581
480	538	580
481	539	579
482	540	578
483	541	577
484	542	576
485	543	575
486	545	574
487	546	572
488	547	571
489	548	570
490	549	569
491	550	568
492	552	567
493	553	566
494	554	565
495	555	564
496	556	563
497	558	562
498	559	561
499	560	560
500	561	559
501	562	558
502	563	557
503	564	555
504	566	554
505	567	553
506	568	552
507	569	551
508	570	550
509	571	549
510	573	548
511	574	547
512	575	546
513	576	545
514	577	544
515	578	543
516	579	541
517	580	540
518	582	539
519	583	538
520	584	537
521	585	536
522	587	535
523	588	534
524	589	533
525	590	532
526	591	531
527	592	530
528	593	528
529	595	527
530	596	526
531	597	525
532	598	524
533	599	523
534	600	522
535	602	521
536	603	520
537	604	518
538	605	517
539	606	516
540	607	515
541	608	514
542	609	513
543	611	512
544	612	511
545	613	510
546	614	509
547	615	508
548	617	507
549	618	506
550	619	505
551	621	504
552	622	502
553	623	501
554	624	500
555	625	499
556	627	498
557	628	497
558	629	496
559	630	495
560	631	494
561	633	493
562	634	492
563	636	491
564	637	490
565	638	489
566	640	488
567	641	487
568	642	486
569	643	485
570	645	484
571	646	483
572	647	482
573	648	481
574	649	480
575	651	479
576	652	478
577	653	477
578	654	476
579	656	475
580	657	474
581	658	473
582	660	472
583	661	471
584	662	470
585	663	469
586	665	467
587	666	466
588	667	465
589	668	464
590	670	464
591	671	462
592	673	461
593	674	460
594	675	459
595	676	458
596	677	457
597	678	456
598	679	454
599	680	453
600	681	452
601	683	451
602	684	450
603	685	449
604	686	448
605	687	447
606	688	445
607	690	444
608	691	443
609	692	442
610	693	441
611	695	440
612	696	439
613	697	438
614	699	437
615	700	436
616	701	435
617	702	434
618	703	432
619	704	431
620	706	430
621	707	429
622	708	428
623	709	427
624	710	426
625	712	425
626	713	424
627	714	423
628	715	422
629	716	421
630	718	419
631	719	418
632	720	417
633	721	416
634	722	415
635	723	414
636	725	413
637	726	412
638	727	411
639	728	409
640	729	408
641	731	407
642	732	406
643	733	405
644	734	404
